,stars,name,feedback,gender,num_words
0,5,иван,Качество огонь  177 см вес 77кг  размер м в обтяжку,M,10
2,5,Роман,Футболка хорошего качества  Плотный материал  ткань хорошо окрашена  Ворот плотный не растягивается ,M,12
3,5,Сергей,🙃,M,1
5,5,Михаил,Качественный принт размер в размер,M,5
8,4,Игорь,Немного длинноватая  В плечах сила хорошо ,M,6
9,5,Эдуард,Белый не белый чуть темнее чем на фото  а так нормальная  качество ,M,12
13,5,Ашот,Все понравилось  Достойная и качественная футболка за свои деньги,M,9
18,5,Алексей,👍🏿,M,1
20,5,Андрей,Удобная  качественная  не садится,M,4
21,5,Александр,Моя любимая футболка  Ткань отличная  не вытягивается,M,7
25,5,Денис,Норм ,M,1
26,3,Антон,Очень тонкая футболка  после одной стирки теряет форму ,M,8
27,5,Анзор,Очень приятная ткань  ложится на тело подстраивается под форму  очень тонкая дышится отлично  по размеру мне подошло все равно спасибо ,M,20
28,5,Алексей,Все отлично  тоненькая,M,3
31,5,Данияр,👋,M,1
32,5,денис,Ткань качественная ,M,2
33,5,Андрей,Сшита как по мне специально 🤗 идеальное качество,M,8
34,5,Андрей,Сшита как по мне специально 🤗 идеальное качество,M,8
35,5,Данияр,Очень удобная,M,2
36,5,Рафаэль,Хорошая футболка,M,2
41,5,евгений,Качество огонь ,M,2
43,5,Ильдус,👍,M,1
44,5,Давыдов Евгений,Хорошее качество ,M,2
45,5,Рафаэль,Футболка оправдала ожидания по качеству и размеру,M,7
47,5,Александр,Качество хорошее ,M,2
54,5,Дамир,Отличная футболка  качество тоже хорошее,M,5
55,5,Дамир,Отлично подошло  качество на высоте,M,5
56,5,Владимир,Отличное качество  очень нравиться ,M,4
57,5,Дамир,Качество нормальное  размер совпадает,M,4
61,5,Гузель,Качество на высоте  взяла с хорошей скидкой ,M,7
63,5,Владимир,Футболка супер 👍,M,3
68,5,Корчевский Иван,Отличная футболка  размер соответствует ,M,4
69,4,Виталий,Футболка  как футболка  купил в подарок 🎁,M,7
70,5,Смирнов Юрик,Отличное качество и классная цена,M,5
73,5,Денис,Супер гуд,M,2
77,5,Денис,Футболка хорошего качества  Размер соответствует действительности ,M,6
79,5,Станислав,Очень качественная  👍,M,3
89,5,папарад,Плотная  хороший пошив и фасон,M,5
96,5,дмитрий,Отличный товар,M,2
97,5,полунин александр,Материал отличный  Очень понравилась ,M,4
99,5,полунин александр,Классная футболка  👍👍👍,M,3
100,5,Калинчев Дмитрий,👍👍👍,M,1
102,4,Николай,Размер соответствует  Принт наклеен  Посмотпим как себя поведёт ,M,8
103,5,стас,Супер размер точный качество норм,M,5
109,5,Дмитрий,Натуральный хлопок,M,2
115,5,Лежнёв Вячеслав,Плотная  мягкая,M,2
116,5,Антон,Качество супер  цвет яркий смотрится хорошо ,M,6
117,4,Антон,Цвет приятный  фирма хорошая  Качество супер,M,6
118,5,Антон,Хорошая  качественная  размер соответствует  рекомендую ,M,5
121,5,Дмитрий,Качество хорошее  полная ,M,3
122,5,крылов александр,Качество на высоте ,M,3
127,4,Рафаил,Футболка хорошо сшита  Но цвет не такой  как на фотографии,M,10
137,5,Кирилл,Качество и цена,M,3
138,5,Дмитрий,Качество отличное,M,2
139,5,Андрей,Хотя футболка и домашняя  но она удобна настолько  что её можно использовать и в качестве уличной ,M,16
141,5,Панкрашкин Марат,Все ок,M,2
142,5,Александр,Хорошая простая футболка,M,3
144,5,Николай,Класс,M,1
145,5,Георгий Назарян,Отличная футболка под рубашку  чтоб не видно было горлышко,M,9
147,5,Эдуард,Простая и приятная домашняя футболка,M,5
148,5,гарик,Удобный вещь,M,2
149,5,Бобоев Ахад,👍👍👍,M,1
153,5,Новожилова Гузель,Взяла мужу  обычная чёрная футболка хорошего качества  Чуть чуть маломерит  Обычно носит М  а тут купили L,M,17
156,5,Святослав,Качество отличное  Но с размерами беда  очень сильно маломерит и футболка приталена  Учитывайте при выборе,M,15
157,5,Валентин,Отлично  то что было нужно ,M,5
160,5,Николай,Дома ходить пойдёт,M,3
161,5,Юрий,Отличная ткань  прекрасно сидит ,M,4
162,5,Петров Георгий,Очень хорошие футболки ,M,3
163,5,Комаров Александр,Красивая удобная футболка,M,3
168,5,Кузнецов Артур,👍,M,1
169,5,Кузнецов Артур,👍,M,1
170,5,Кузнецов Артур,👍,M,1
